municipality_name,municipality_code,municipality_name_machine_friendly,region_id,region_name
Kapelle,GM0678,Kapelle,RE08,Zeeland-West-Brabant
Katwijk,GM0537,Katwijk,RE06,DenHaag
Kerkrade,GM0928,Kerkrade,RE10,Limburg
Koggenland,GM1598,Koggenland,RE04,Noord-Holland
Krimpen aan den IJssel,GM0542,KrimpenaandenIJssel,RE07,Rotterdam
Krimpenerwaard,GM1931,Krimpenerwaard,RE06,DenHaag
Laarbeek,GM1659,Laarbeek,RE09,Oost-Brabant
Landerd,GM1685,Landerd,RE09,Oost-Brabant
Landgraaf,GM0882,Landgraaf,RE10,Limburg
Landsmeer,GM0415,Landsmeer,RE04,Noord-Holland
Langedijk,GM0416,Langedijk,RE04,Noord-Holland
Lansingerland,GM1621,Lansingerland,RE07,Rotterdam
Laren (NH.),GM0417,Laren,RE03,Midden-Nederland
Leeuwarden,GM0080,Leeuwarden,RE01,Noord-Nederland
Leiden,GM0546,Leiden,RE06,DenHaag
Leiderdorp,GM0547,Leiderdorp,RE06,DenHaag
Leidschendam-Voorburg,GM1916,Leidschendam-Voorburg,RE06,DenHaag
Lelystad,GM0995,Lelystad,RE03,Midden-Nederland
Leudal,GM1640,Leudal,RE10,Limburg
Leusden,GM0327,Leusden,RE03,Midden-Nederland
Lingewaard,GM1705,Lingewaard,RE02,Oost-Nederland
Lisse,GM0553,Lisse,RE06,DenHaag
Lochem,GM0262,Lochem,RE02,Oost-Nederland
Loon op Zand,GM0809,LoonopZand,RE08,Zeeland-West-Brabant
Lopik,GM0331,Lopik,RE03,Midden-Nederland
Losser,GM0168,Losser,RE02,Oost-Nederland
Maasdriel,GM0263,Maasdriel,RE02,Oost-Nederland
Maasgouw,GM1641,Maasgouw,RE10,Limburg
Maassluis,GM0556,Maassluis,RE07,Rotterdam
Maastricht,GM0935,Maastricht,RE10,Limburg
Medemblik,GM0420,Medemblik,RE04,Noord-Holland
Meerssen,GM0938,Meerssen,RE10,Limburg
Meierijstad,GM1948,Meierijstad,RE09,Oost-Brabant
Meppel,GM0119,Meppel,RE01,Noord-Nederland
Middelburg (Z.),GM0687,Middelburg,RE08,Zeeland-West-Brabant
Midden-Delfland,GM1842,Midden-Delfland,RE06,DenHaag
Midden-Drenthe,GM1731,Midden-Drenthe,RE01,Noord-Nederland
Midden-Groningen,GM1952,Midden-Groningen,RE01,Noord-Nederland
Mill en Sint Hubert,GM0815,MillenSintHubert,RE09,Oost-Brabant
Moerdijk,GM1709,Moerdijk,RE08,Zeeland-West-Brabant
Molenlanden,GM1978,Molenlanden,RE07,Rotterdam
Montferland,GM1955,Montferland,RE02,Oost-Nederland
Montfoort,GM0335,Montfoort,RE03,Midden-Nederland
Mook en Middelaar,GM0944,MookenMiddelaar,RE10,Limburg
Neder-Betuwe,GM1740,Neder-Betuwe,RE02,Oost-Nederland
Nederweert,GM0946,Nederweert,RE10,Limburg
Nieuwegein,GM0356,Nieuwegein,RE03,Midden-Nederland
Nieuwkoop,GM0569,Nieuwkoop,RE06,DenHaag
Nijkerk,GM0267,Nijkerk,RE02,Oost-Nederland
Nijmegen,GM0268,Nijmegen,RE02,Oost-Nederland
Nissewaard,GM1930,Nissewaard,RE07,Rotterdam
Noardeast-Fryslân,GM1970,Noardeast-Fryslân,RE01,Noord-Nederland
Noord-Beveland,GM1695,Noord-Beveland,RE08,Zeeland-West-Brabant
Noordenveld,GM1699,Noordenveld,RE01,Noord-Nederland
Noordoostpolder,GM0171,Noordoostpolder,RE03,Midden-Nederland
Noordwijk,GM0575,Noordwijk,RE06,DenHaag
"Nuenen, Gerwen en Nederwetten",GM0820,"Nuenen,GerwenenNederwetten",RE09,Oost-Brabant
Nunspeet,GM0302,Nunspeet,RE02,Oost-Nederland
Oegstgeest,GM0579,Oegstgeest,RE06,DenHaag
Oirschot,GM0823,Oirschot,RE09,Oost-Brabant
Oisterwijk,GM0824,Oisterwijk,RE08,Zeeland-West-Brabant
Oldambt,GM1895,Oldambt,RE01,Noord-Nederland
Oldebroek,GM0269,Oldebroek,RE02,Oost-Nederland
Oldenzaal,GM0173,Oldenzaal,RE02,Oost-Nederland
Olst-Wijhe,GM1773,Olst-Wijhe,RE02,Oost-Nederland
Ommen,GM0175,Ommen,RE02,Oost-Nederland
Oost Gelre,GM1586,OostGelre,RE02,Oost-Nederland
Oosterhout,GM0826,Oosterhout,RE08,Zeeland-West-Brabant
Ooststellingwerf,GM0085,Ooststellingwerf,RE01,Noord-Nederland
